"ID"	"word"	"def"	"spionicword"	"partid"	"btid"	"root"	"uncertain"	"Note"	"root_word"	"alpha"	"lucidaword"	"present"	"future"	"aorist"	"perfect"	"perfmid"	"aoristpass"	"compound"	"verbclass"	"Gender"	"beta"	"Spaces"	"Level"	"Parent"
31	"ἀγανάκτησις"	"irritation"	"a)gana/kthsij "	1	0	7	0		0	"acamajtgsir"	"ἀγανάκτησις"							0	0	1	"a)gana/kthsis"	0	2	0
32	"ἀγανακτητός"	"irritating"	"a)ganakthto/j "	3	0	7	0		0	"acamajtgtor"	"ἀγανακτητός"							0	0	0	"a)ganakthto/s"	0	3	0
33	"ἀγάομαι"	"admiring"	"a)ga/omai "	2	0	6	0		0	"acaolai"	"ἀγάομαι"							0	0	0	"a)ga/omai"	0	4	0
34	"ἀγαπάζω"	"to treat with affection, shew affection to"	"a)gapa/zw "	2	0	8	0		0	"acapafy"	"ἀγαπάζω"							0	3	0	"a)gapa/zw"	0	1	0
35	"ἀγαπάω"	"to treat with affection, to caress, love, be fond of"	"a)gapa/w "	2	0	8	0		0	"acapay"	"ἀγαπάω"							0	0	0	"a)gapa/w"	0	2	0
36	"ἀγάπη"	"love"	"a)ga/ph "	1	0	8	0		-1	"acapg"	"ἀγάπη"							0	0	1	"a)ga/ph"	0	3	0
37	"ἀγάπησις"		"a)ga/phsij "	1	0	8	0		0	"acapgsir"	"ἀγάπησις"							0	0	1	"a)ga/phsis"	0	4	0
38	"ἀγαπητός"	"beloved"	"a)gaphto/j "	3	0	8	0		0	"acapgtor"	"ἀγαπητός"							0	0	0	"a)gaphto/s"	0	5	0
39	"ἀγαστός"	"deserving admiration"	"a)gasto/j "	3	0	6	0		0	"acastor"	"ἀγαστός"							0	0	0	"a)gasto/s"	0	5	0
40	"ἀγαυός"	"illustrious, noble"	"a)gauo/j "	3	0	0	0		0	"acauor"	"ἀγαυός"							0	0	0	"a)gauo/s"	0	0	0
41	"ἀγγεῖον"		"a)ggei=on "	0	0	0	0		0	"acceiom"	"ἀγγει̂ον"							0	0	0	"a)ggei=on"	0	0	0
42	"ἀγγελία"	"a message, tidings, news"	"a)ggeli/a "	1	0	9	0		0	"accekia"	"ἀγγελία"							0	0	1	"a)ggeli/a"	0	1	0
43	"ἀγγέλλω"	"to bear a message"	"a)gge/llw "	2	0	9	0		0	"accekky"	"ἀγγέλλω"							0	3	0	"a)gge/llw"	0	2	0
44	"ἄγγελος"	"a messenger, envoy"	"a)/ggeloj "	1	0	9	0		-1	"accekor"	"ἄγγελος"							0	0	2	"a)/ggelos"	0	9	0
45	"ἄγε"	"come! come on! well!"	"a)/ge "	2	0	0	-1		0	"ace"	"ἄγε"							0	0	0	"a)/ge"	0	0	0
46	"ἀγείρω"	"to bring together, gather together"	"a)gei/rw "	2	0	10	0		-1	"aceiqy"	"ἀγείρω"							0	0	0	"a)gei/rw"	0	1	0
47	"ἀγελαιοκομικός"		"a)gelaiokomiko/j "	3	0	787	0		0	"acekaiojolijor"	"ἀγελαιοκομικός"							0	0	0	"a)gelaiokomiko/s"	0	1	0
48	"ἀγελαῖος"	"belonging to a herd, feeding at large"	"a)gelai=oj "	3	0	11	0		0	"acekaior"	"ἀγελαι̂ος"							0	0	0	"a)gelai=os"	0	1	0
49	"ἀγελαιοτροφία"		"a)gelaiotrofi/a "	1	0	553	0		0	"acekaiotqovia"	"ἀγελαιοτροφία"							0	0	1	"a)gelaiotrofi/a"	0	1	0
50	"ἀγελαιοτροφικός"		"a)gelaiotrofiko/j "	3	0	553	0		0	"acekaiotqovijor"	"ἀγελαιοτροφικός"							0	0	0	"a)gelaiotrofiko/s"	0	2	0
51	"ἀγελαστί"	"without laughter"	"a)gelasti/ "	4	0	145	-1		0	"acekasti"	"ἀγελαστί"							0	0	0	"a)gelasti/"	0	1	0
52	"ἀγέλη"	"a herd"	"a)ge/lh "	1	1	11	0		-1	"acekg"	"ἀγέλη"							0	0	1	"a)ge/lh"	0	2	0
53	"ἀγένειος"	"beardless"	"a)ge/neioj "	3	16	153	0		0	"acemeior"	"ἀγένειος"							0	0	0	"a)ge/neios"	0	1	0
54	"ἀγενής"		"a)genh/j "	0	0	153	0		0	"acemgr"	"ἀγενής"							0	0	0	"a)genh/s"	0	2	0
55	"ἀγένητος"	"unborn, uncreated, unoriginated"	"a)ge/nhtoj "	3	0	153	0		0	"acemgtor"	"ἀγένητος"							0	0	0	"a)ge/nhtos"	0	3	0
56	"ἀγεννής"	"of no family, low-born"	"a)gennh/j "	3	0	153	0		0	"acemmgr"	"ἀγεννής"							0	0	0	"a)gennh/s"	0	4	0
57		"unbegotten, unborn"	"a)ge/nnhtoj "	3	0	0	-1		0	"acemmgtor"	"ἀγέννητος"							0	0	0	"a)ge/nnhtos"	0	0	0
58	"ἄγη"	"wonder, awe, amazement"	"a)/gh "	1	0	12	0		-1	"acg"	"ἄγη"							0	0	1	"a)/gh"	0	1	0
59	"ἀγήραος"	"not waxing old, undecaying"	"a)gh/raoj "	3	0	152	0		0	"acgqaor"	"ἀγήραος"							0	0	0	"a)gh/raos"	0	1	0
60	"ἅγιος"	"devoted to the gods, sacred, holy"	"a(/gioj "	3	0	647	0		0	"acior"	"ἅγιος"							0	0	0	"a(/gios"	0	1	0
61	"Ἄγις"		")/Agij "	6	0	0	0		0	"acir"	" ̓́Αγις"							0	0	0	"*)/agis"	0	0	0
62	"ἀγκιστρευτικός"		"a)gkistreutiko/j "	3	0	0	0		0	"acjistqeutijor"	"ἀγκιστρευτικός"							0	0	0	"a)gkistreutiko/s"	0	0	0
63	"ἄγκιστρον"	"a fish-hook"	"a)/gkistron "	1	0	13	0		0	"acjistqom"	"ἄγκιστρον"							0	0	3	"a)/gkistron"	0	1	0
64	"ἄγκος"	"a bend"	"a)/gkoj "	1	0	13	0		-1	"acjor"	"ἄγκος"							0	0	3	"a)/gkos"	0	2	0
65	"ἄγκυρα"	"anchor"	"a)/gkura "	1	0	13	0		0	"acjuqa"	"ἄγκυρα"							0	0	1	"a)/gkura"	0	3	0
66	"ἀγκών"	"the bend of the arm, the elbow"	"a)gkw/n "	1	0	13	0		0	"acjym"	"ἀγκών"							0	0	2	"a)gkw/n"	0	4	0
67	"Ἀγλαοφῶν"		")Aglaofw=n "	6	0	0	0		0	"ackaovym"	" ̓Αγλαοφω̂ν"							0	0	0	"*)aglaofw=n"	0	0	0
68	"ἀγνοέω"	"not to perceive or know"	"a)gnoe/w "	2	0	154	0		0	"acmoey"	"ἀγνοέω"							0	0	0	"a)gnoe/w"	0	1	0
69	"ἀγνόησις"		"a)gno/hsij "	1	0	154	0		0	"acmogsir"	"ἀγνόησις"							0	0	1	"a)gno/hsis"	0	2	0
70	"ἄγνοια"	"want of perception, ignorance"	"a)/gnoia "	1	0	154	0		0	"acmoia"	"ἄγνοια"							0	0	1	"a)/gnoia"	0	3	0
71	"ἁγνός"	"full of religious awe"	"a(gno/j "	3	0	647	0		0	"acmor"	"ἁγνός"							0	0	0	"a(gno/s"	0	2	0
72	"ἄγνος"	"a willow-like tree"	"a)/gnoj "	1	2	0	0		0	"acmor"	"ἄγνος"							0	0	4	"a)/gnos"	0	0	0
73	"ἄγνυμι"	"to break, shiver"	"a)/gnumi "	2	0	14	0		-1	"acmuli"	"ἄγνυμι"							0	0	0	"a)/gnumi"	0	1	0
74	"ἀγνωμοσύνη"	"want of sense, folly"	"a)gnwmosu/nh "	1	0	154	0		0	"acmylosumg"	"ἀγνωμοσύνη"							0	0	1	"a)gnwmosu/nh"	0	4	0
75	"ἀγνώμων"	"ill-judging, senseless"	"a)gnw/mwn "	3	0	154	0		0	"acmylym"	"ἀγνώμων"							0	0	0	"a)gnw/mwn"	0	5	0
76	"ἀγνώς"	"unknown"	"a)gnw/j "	3	0	154	0		0	"acmyr"	"ἀγνώς"							0	0	0	"a)gnw/s"	0	6	0
77	"ἀγνωσία"	"ignorance"	"a)gnwsi/a "	1	0	154	0		0	"acmysia"	"ἀγνωσία"							0	0	1	"a)gnwsi/a"	0	7	0
78	"ἄγνωστος"	"unknown"	"a)/gnwstoj "	1	0	154	0		0	"acmystor"	"ἄγνωστος"							0	0	0	"a)/gnwstos"	0	8	0
79	"ἄγονος"	"unborn"	"a)/gonoj "	3	0	153	0		0	"acomor"	"ἄγονος"							0	0	0	"a)/gonos"	0	5	0
80	"ἀγορά"	"an assembly of the people"	"a)gora/ "	1	0	15	0		-1	"acoqa"	"ἀγορά"							0	0	1	"a)gora/"	0	1	0
81	"ἀγοράζω"	"to be in the ἀγορά"	"a)gora/zw "	2	0	15	0		0	"acoqafy"	"ἀγοράζω"							0	3	0	"a)gora/zw"	0	2	0
82	"ἀγοραῖος"	"in, of, or belonging to the ἀγορά"	"a)gorai=oj "	3	0	15	0		0	"acoqaior"	"ἀγοραι̂ος"							0	0	0	"a)gorai=os"	0	3	0
83	"ἀγοράομαι"	"to meet in assembly, sit in debate"	"a)gora/omai "	2	0	15	0		0	"acoqaolai"	"ἀγοράομαι"							0	0	0	"a)gora/omai"	0	4	0
84	"ἀγόρασις"		"a)go/rasij "	1	0	0	0		0	"acoqasir"	"ἀγόρασις"							0	0	1	"a)go/rasis"	0	0	0
85	"ἀγοραστικός"		"a)gorastiko/j "	3	0	15	0		0	"acoqastijor"	"ἀγοραστικός"							0	0	0	"a)gorastiko/s"	0	5	0
86	"ἀγός"	"a leader, chief"	"a)go/j "	1	21	17	0		0	"acor"	"ἀγός"							0	0	2	"a)go/s"	0	1	0
87	"ἄγος"	"any matter of religious awe"	"a)/goj "	1	0	647	0		0	"acor"	"ἄγος"							0	0	2	"a)/gos"	0	3	0
88	"ἄγρα"	"a catching, hunting"	"a)/gra "	1	0	17	0		0	"acqa"	"ἄγρα"							0	0	1	"a)/gra"	0	2	0
89	"Ἄγραι"		")/Agrai "	6	0	0	0		0	"acqai"	" ̓́Αγραι"							0	0	0	"*)/agrai"	0	0	0
90	"ἀγράμματος"	"without learning"	"a)gra/mmatoj "	3	0	161	0		0	"acqallator"	"ἀγράμματος"							0	0	0	"a)gra/mmatos"	0	1	0
91	"ἄγραυλος"	"dwelling in the field"	"a)/grauloj "	3	0	16	0		0	"acqaukor"	"ἄγραυλος"							0	0	0	"a)/graulos"	0	1	0
92	"ἄγραφος"	"unwritten"	"a)/grafoj "	3	0	161	0		0	"acqavor"	"ἄγραφος"							0	0	0	"a)/grafos"	1	18	2080
93	"ἀγρευτής"	"a hunter"	"a)greuth/j "	1	21	17	0		0	"acqeutgr"	"ἀγρευτής"							0	0	2	"a)greuth/s"	1	3	88
94	"ἀγρέω"	"to capture, seize"	"a)gre/w "	2	0	17	0		0	"acqey"	"ἀγρέω"							0	0	0	"a)gre/w"	1	4	88
95	"ἀγρία"		"a)gri/a "	1	0	16	0		0	"acqia"	"ἀγρία"							0	0	1	"a)gri/a"	0	2	0
96	"ἀγριαίνω"	"to be angered, provoked, chafed"	"a)griai/nw "	2	0	16	0		0	"acqiaimy"	"ἀγριαίνω"							0	3	0	"a)griai/nw"	0	3	0
97	"ἄγριος"	"living in the fields"	"a)/grioj "	3	0	16	0		0	"acqior"	"ἄγριος"							0	0	0	"a)/grios"	0	5	0
98	"ἀγριότης"	"wildness, savageness"	"a)grio/thj "	1	0	16	0		0	"acqiotgr"	"ἀγριότης"							0	0	1	"a)grio/ths"	0	6	0
99	"ἀγριόω"	"to make wild or savage"	"a)grio/w "	2	0	16	0		0	"acqioy"	"ἀγριόω"							0	0	0	"a)grio/w"	0	7	0
100	"ἀγροικία"	"rusticity, boorishness, coarseness"	"a)groiki/a "	1	0	16	0		0	"acqoijia"	"ἀγροικία"							0	0	1	"a)groiki/a"	0	9	0
101	"ἀγροικίζομαι"	"to be rude and boorish"	"a)groiki/zomai "	2	0	16	0		0	"acqoijifolai"	"ἀγροικίζομαι"							0	0	0	"a)groiki/zomai"	0	10	0
102	"ἀγροῖκος"		"a)groi=koj "	3	0	16	0		0	"acqoijor"	"ἄγροικος"							0	0	0	"a)groi=kos"	0	12	0
103	"ἄγροικος"	"of or in the country"	"a)/groikoj "	3	0	16	0		0	"acqoijor"	"ἀγροι̂κος"							0	0	0	"a)/groikos"	0	11	0
104	"ἀγρός"	"fields, lands"	"a)gro/j "	1	0	16	0		-1	"acqor"	"ἀγρός"							0	0	2	"a)gro/s"	0	13	0
105	"ἀγρυπνία"	"sleeplessness, waking, watching"	"a)grupni/a "	1	0	0	0		0	"acqupmia"	"ἀγρυπνία"							0	0	1	"a)grupni/a"	0	0	0
106	"ἄγρυπνος"	"hunting after sleep"	"a)/grupnoj "	3	0	569	0		0	"acqupmor"	"ἄγρυπνος"							0	0	0	"a)/grupnos"	0	1	0
107	"ἀγχιβαθής"	"deep near shore"	"a)gxibaqh/j "	3	0	112	0		0	"acwibahgr"	"ἀγχιβαθής"							0	0	0	"a)gxibaqh/s"	0	1	0
108	"ἀγχίνοια"	"readiness of mind, ready wit, sagacity"	"a)gxi/noia "	1	0	368	0		0	"acwimoia"	"ἀγχίνοια"							0	0	1	"a)gxi/noia"	0	1	0
109	"ἀγχίνοος"	"ready of wit, sagacious, shrewd"	"a)gxi/nooj "	3	0	368	0		0	"acwimoor"	"ἀγχίνοος"							0	0	0	"a)gxi/noos"	0	2	0
110	"ἄγω"	"to lead or carry, to convey, bring"	"a)/gw "	2	0	17	0		-1	"acy"	"ἄγω"	"ἄγω"	"ἄξω"	"ἤγαγον"	"ἦχα"	"ἦγμαι"	"ἤχθην"	0	0	0	"a)/gw"	0	5	0
111	"ἀγωγεύς"	"one that draws or drags"	"a)gwgeu/j "	1	0	17	0		0	"acyceur"	"ἀγωγεύς"							0	0	2	"a)gwgeu/s"	0	21	0
112	"ἀγωγή"	"a carrying away, carriage"	"a)gwgh/ "	1	0	17	0		0	"acycg"	"ἀγωγή"							0	0	1	"a)gwgh/"	0	24	0
113	"ἀγώγιμος"	"easy to be led or carried"	"a)gw/gimoj "	3	0	17	0		0	"acycilor"	"ἀγώγιμος"							0	0	0	"a)gw/gimos"	0	30	0
114	"ἀγών"	"a number of people brought together, a gathering, assembly"	"a)gw/n "	1	0	17	0		0	"acym"	"ἀγών"							0	0	2	"a)gw/n"	0	31	0
115	"ἀγωνία"	"a contest, struggle for victory"	"a)gwni/a "	1	0	18	0		-1	"acymia"	"ἀγωνία"							0	0	1	"a)gwni/a"	0	1	0
116	"ἀγωνιάω"	"to contend eagerly, struggle"	"a)gwnia/w "	2	0	18	0		0	"acymiay"	"ἀγωνιάω"							0	0	0	"a)gwnia/w"	0	2	0
117	"ἀγωνίζομαι"	"to contend for a prize"	"a)gwni/zomai "	2	0	18	0		0	"acymifolai"	"ἀγωνίζομαι"							0	0	0	"a)gwni/zomai"	0	3	0
118	"ἀγωνιστής"	"a rival"	"a)gwnisth/j "	1	0	18	0		0	"acymistgr"	"ἀγωνιστής"							0	0	2	"a)gwnisth/s"	0	4	0
119	"ἀγωνιστικός"	"fit for contest or debate"	"a)gwnistiko/j "	3	0	18	0		0	"acymistijor"	"ἀγωνιστικός"							0	0	0	"a)gwnistiko/s"	0	5	0
120	"ἀγωνοθετέω"	"to direct the games, exhibit them"	"a)gwnoqete/w "	2	0	18	0		0	"acymohetey"	"ἀγωνοθετέω"							0	0	0	"a)gwnoqete/w"	0	6	0
121	"ἀγωνοθέτης"	"judge of the contests, director of the games"	"a)gwnoqe/thj "	1	0	18	0		0	"acymohetgr"	"ἀγωνοθέτης"							0	0	2	"a)gwnoqe/ths"	0	7	0
122	"ἄγωνος"		"a)/gwnoj "	0	0	0	0		0	"acymor"	"ἄγωνος"							0	0	0	"a)/gwnos"	0	0	0
123	"ἀδαμάντινος"	"adamantine"	"a)dama/ntinoj "	3	0	786	0		0	"adalamtimor"	"ἀδαμάντινος"							0	0	0	"a)dama/ntinos"	0	1	0
124	"ἀδάμας"		"a)da/maj "	0	0	786	0		0	"adalar"	"ἀδάμας"							0	0	0	"a)da/mas"	0	2	0
125	"ἀδεής"	"without fear, fearless"	"a)deh/j "	3	0	172	0		0	"adegr"	"ἀδεής"							0	0	0	"a)deh/s"	0	1	0
126	"ἀδείμαντος"	"fearless, dauntless"	"a)dei/mantoj "	3	0	172	0		0	"adeilamtor"	"ἀδείμαντος"							0	0	0	"a)dei/mantos"	0	2	0
127	"Ἀδείμαντος"		")Adei/mantoj "	6	0	0	0		0	"adeilamtor"	" ̓Αδείμαντος"							0	0	0	"*)adei/mantos"	0	0	0
128	"ἀδελφή"	"a sister"	"a)delfh/ "	1	19	129	0		0	"adekvg"	"ἀδελφή"							0	0	1	"a)delfh/"	0	1	0
129	"ἀδελφιδέος"	"a brother's or sister's son, a nephew"	"a)delfide/oj "	1	0	19	0		0	"adekvideor"	"ἀδελφιδέος"							0	0	1	"a)delfide/os"	0	1	0
130	"ἀδελφός"	"sons of the same mother"	"a)delfo/j "	1	19	19	0		-1	"adekvor"	"ἀδελφός"							0	0	1	"a)delfo/s"	0	2	0
131	"ἄδηλος"	"not seen or known, unknown, obscure"	"a)/dhloj "	3	0	185	0		0	"adgkor"	"ἄδηλος"							0	0	0	"a)/dhlos"	1	2	2213
132	"ἀδημονέω"	"to be sorely troubled"	"a)dhmone/w "	2	0	0	0		0	"adglomey"	"ἀδημονέω"							0	0	0	"a)dhmone/w"	0	0	0
133	"ἅδην"	"to eat their fill"	"a(/dhn "	0	0	0	0		0	"adgm"	"ἅδην"							0	0	0	"a(/dhn"	0	0	0
134	"ᾍδης"	"Hades or Pluto"	"(/A?dhj "	1	0	0	-1		0	"adgr"	" ̔́ᾼδης"							0	0	1	"*(/a|dhs"	0	0	0
135	"ἀδιάλυτος"	"undissolved, indissoluble"	"a)dia/lutoj "	3	0	341	0		0	"adiakutor"	"ἀδιάλυτος"							0	0	0	"a)dia/lutos"	0	1	0
136	"ἀδιανόητος"		"a)diano/htoj "	3	0	368	0		0	"adiamogtor"	"ἀδιανόητος"							0	0	0	"a)diano/htos"	0	3	0
137	"ἀδιάπλαστος"		"a)dia/plastoj "	3	0	426	0		0	"adiapkastor"	"ἀδιάπλαστος"							0	0	0	"a)dia/plastos"	0	1	0
138	"ἀδιάφθαρτος"		"a)dia/fqartoj "	3	0	581	0		0	"adiavhaqtor"	"ἀδιάφθαρτος"							0	0	0	"a)dia/fqartos"	0	1	0
139	"ἀδιάφθορος"	"uncorrupted"	"a)dia/fqoroj "	3	0	581	0		0	"adiavhoqor"	"ἀδιάφθορος"							0	0	0	"a)dia/fqoros"	0	2	0
140	"ἀδιερεύνητος"	"unquestioned"	"a)diereu/nhtoj "	3	0	720	0		0	"adieqeumgtor"	"ἀδιερεύνητος"							0	0	0	"a)diereu/nhtos"	0	1	0
141	"ἀδίκαστος"	"undecided"	"a)di/kastoj "	3	0	192	0		0	"adijastor"	"ἀδίκαστος"							0	0	0	"a)di/kastos"	0	1	0
142	"ἀδικέω"	"to do wrong"	"a)dike/w "	2	0	192	0		0	"adijey"	"ἀδικέω"							0	0	0	"a)dike/w"	0	2	0
143	"ἀδίκημα"	"a wrong done, a wrong"	"a)di/khma "	1	0	192	0		0	"adijgla"	"ἀδίκημα"							0	0	3	"a)di/khma"	0	4	0
144	"ἀδικητέον"		"a)dikhte/on "	0	0	192	0		0	"adijgteom"	"ἀδικητέον"							0	0	0	"a)dikhte/on"	0	5	0
145	"ἀδικητέος"	"one must do wrong"	"a)dikhte/oj "	3	0	192	0		0	"adijgteor"	"ἀδικητέος"							0	0	0	"a)dikhte/os"	0	6	0
146	"ἀδικία"	"wrong-doing, injustice"	"a)diki/a "	1	0	192	0		0	"adijia"	"ἀδικία"							0	0	1	"a)diki/a"	0	7	0
147	"ἄδικος"	"wrong-doing, unrighteous, unjust"	"a)/dikoj "	3	0	192	0		0	"adijor"	"ἄδικος"							0	0	0	"a)/dikos"	0	8	0
148	"ἄδμητος"	"unbroken"	"a)/dmhtoj "	3	0	786	0		0	"adlgtor"	" ̓́Αδμητος"							0	0	0	"*)/admhtos"	0	3	0
149	"Ἄδμητος"		")/Admhtoj "	6	0	0	0		0	"adlgtor"	"ἄδμητος"							0	0	0	"a)/dmhtos"	0	0	0
150	"ἀδολεσχέω"	"to talk idly, prate"	"a)dolesxe/w "	2	0	20	0		0	"adokeswey"	"ἀδολεσχέω"							0	0	0	"a)dolesxe/w"	0	1	0
151	"ἀδολέσχης"	"a garrulous fellow, idle talker"	"a)dole/sxhj "	3	0	20	0		-1	"adokeswgr"	"ἀδολέσχης"							0	0	0	"a)dole/sxhs"	0	2	0
152	"ἀδολεσχία"	"garrulity, idle talk"	"a)dolesxi/a "	1	0	20	0		0	"adokeswia"	"ἀδολεσχία"							0	0	1	"a)dolesxi/a"	0	3	0
153	"ἀδολεσχικός"		"a)dolesxiko/j "	3	0	20	0		0	"adokeswijor"	"ἀδολεσχικός"							0	0	0	"a)dolesxiko/s"	0	4	0
154	"ἄδολος"	"without fraud, guileless"	"a)/doloj "	3	0	760	0		0	"adokor"	"ἄδολος"							0	0	0	"a)/dolos"	0	1	0
155	"ἀδόξαστος"	"not matter of opinion"	"a)do/castoj "	3	0	197	0		0	"adonastor"	"ἀδόξαστος"							0	0	0	"a)do/castos"	0	1	0
156	"ἀδοξία"	"ill-repute, disgrace"	"a)doci/a "	1	0	197	0		0	"adonia"	"ἀδοξία"							0	0	1	"a)doci/a"	0	2	0
157	"ἅδος"	"satiety, loathing"	"a(/doj "	3	0	0	0		0	"ador"	"ἅδος"							0	0	0	"a(/dos"	0	0	0
158	"Ἀδράστεια"	"the Inevitable"	")Adra/steia "	1	0	0	-1		0	"adqasteia"	" ̓Αδράστεια"							0	0	1	"*)adra/steia"	0	0	0
159	"Ἄδραστος"		")/Adrastoj "	6	0	0	0		0	"adqastor"	" ̓́Αδραστος"							0	0	0	"a)/drastos"	0	0	0
160	"ἄδραστος"	"not running away, not inclined to do so"	"a)/drastoj "	3	0	0	0		0	"adqastor"	"ἄδραστος"							0	0	0	"*)/adrastos"	0	0	0
161	"ἀδυναμία"	"want of strength or power, inability, incapacity"	"a)dunami/a "	1	0	206	0		0	"adumalia"	"ἀδυναμία"							0	0	1	"a)dunami/a"	0	1	0
162	"ἀδυνατέω"	"to want strength"	"a)dunate/w "	2	0	206	0		0	"adumatey"	"ἀδυνατέω"							0	0	0	"a)dunate/w"	1	8	2740
163	"ἀδύνατος"	"unable"	"a)du/natoj "	3	0	206	0		0	"adumator"	"ἀδύνατος"							0	0	0	"a)du/natos"	1	11	2742
164	"ἄδυτον"	"the innermost sanctuary"	"a)/duton "	1	0	209	0		0	"adutom"	"ἄδυτον"							0	0	3	"a)/duton"	0	1	0
