Field1	Field2
αἰτίασις	
αἰτίαστην	
αἰτιατός	
αἴτιοναὐτο	
αἴτιοντοῦ	
αἴτιος	to blame, blameworthy, culpable
αἱφαντασίαι	
αἰφνίδιος	unforeseen, sudden
αἰχμή	the point of a spear
αἶψα	quick, with speed, on a sudden
αἰών	a period of existence
ἄκαιρος	ill-timed, unseasonable, inopportune
ἀκακία	guilelessness
ἄκαρπος	without fruit, barren
Ἄκαστος	
ἄκαστος	
ἀκέομαι	to heal, cure
ἀκερδής	without gain, bringing loss
ἀκίβδηλος	unadulterated, genuine
ἀκίνδυνος	without danger, free from danger
ἀκινησία	
ἀκίνητος	unmoved, motionless
ἀκινήτῳἐπιπεδα	
ἀκινήτωνοὐκ	
ἀκληρωτί	
ἄκλητος	uncalled, unbidden
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμαῖος	in full bloom, at the prime, blooming, vigorous
ἀκμή	a point, edge
ἀκοή	a hearing, the sound heard
ἀκοινωνησία	
ἀκοκασίαν	
ἀκολασία	licentiousness, intemperance
ἀκολασταίνω	to be licentious, intemperate
ἀκόλαστος	licentious, intemperate
ἀκολουθέω	to follow
ἀκολούθησις	
ἀκολουθητικός	
ἀκόλουθος	following, attending on
ἀκοντίζω	to hurl a javelin
ἀκόντιον	
ἄκος	a cure, relief, remedy for
ἀκοσμέω	to be disorderly, to offend
ἀκοσμία	disorder
ἀκουάζομαι	to hearken
ἀκούσιος	
ἄκουσις	
ἄκουσμα	a thing heard
ἀκουστής	
ἀκουστικός	
ἀκουστός	heard, audible
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
ἀκρασία	bad mixture, ill temperature
ἀκράτεια	incontinence, want of self-control
ἀκρατεύεσθαι	
ἀκρατεύεται	
ἀκρατευόμενος	
ἀκρατευομένους	
ἀκρατεύονται	
ἀκρατευτικός	
ἀκρατής	powerless, impotent
ἄκρατος	unmixed, sheer
ἀκρατῶς	
ἀκραχολία	passionateness, burst of passion
ἀκράχολος	quick to anger, passionate
ἀκρίβεια	exactness, minute accuracy, precision
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβοδίκαιος	
ἀκριβολογέομαι	to be exact or precise
ἀκριβολογητέον	
ἀκριβολογία	
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκρόαμα	anything heard with pleasure
ἀκροάομαι	to hearken to, listen to
ἀκρόασις	a hearing or listening
ἀκροατής	a hearer
ἄκρον	the highest or furthest point
ἀκρόπολις	the upper city
ἄκρος	at the furthest point
ἀκρότης	
ἀκροχειρίζομαι	to struggle at arm's length
ἀκρόχολος	
ἄκρων	
ἀκρωτήριον	any prominent part
ἀκτέον	
ἀκτέος	one must lead
Ἀκτή	
ἀκτή	a headland, foreland, promontory, shore
ἄκυρον	
ἄκυρος	without authority
ἀκυρόω	
ἄκων	a javelin, dart
ἀλαζονεία	false pretension, imposture, quackery
ἀλαζονεύομαι	to make false pretensions
ἀλαζονικός	boastful, braggart
ἀλαζών	a vagabond
ἅλας	salt
ἁλατοπωλία	
ἀλγεινός	giving pain, painful, grievous
ἀλγέω	to feel bodily pain, suffer
ἀλγηδών	a sense of pain, pain, suffering
ἄλγος	pain
ἀλέα	an escape
ἀλεεινός	open to the sun, warm, hot
ἀλεείνω	to avoid, shun
ἀλείπτης	an anointer, a teacher of gymnastics
Ἀλεξανδρεύς	
Ἀλέξανδρος	
ἀλέξανδρος	defending men
Ἀλεξίης	
ἀλέξιον	
Ἀλευαδῶν	
ἀλέω	to grind, bruise, pound
ἁλή	
ἀλήθεια	truth
ἀληθέσεἰπεῖν	
ἀληθέσὀν	
ἀλήθευσις	
ἀληθευτικός	
ἀληθεύω	to speak truth
ἀληθῆἠ	
ἀληθής	unconcealed, true
ἀληθινός	agreeable to truth
ἀληθῶσεὐδαιμων	
ἀλήλλοις	
ἁλής	assembled, thronged, in a mass, all at once
ἀλήτης	a wanderer, stroller, rover, vagabond
ἁλιεία	fishing
ἁλίειος	
ἁλιεύς	one who has to do with the sea
ἁλιευτικός	of or for fishing
ἁλίζω	
ἅλις	in heaps, crowds, swarms, in abundance, in plenty
ἁλίσκεσθαισυμβαινει	
ἁλίσκομαι	to be taken, conquered
ἀλκαῖον	
ἀλκαῖος	strong, mighty
Ἀλκαῖος	
ἀλκή	strength
Ἀλκιβιάδης	
Ἀλκιδάμαντος	
Ἀλκιδάμας	
Ἀλκίνοος	
Ἀλκμαίων	
Ἀλκμέων	
Ἀλκμεωνίδαι	
Ἀλκμεωνίδας	
Ἀλκμεωνιδῶν	
Ἀλκυόνη	
ἀλλά	otherwise, but
ἀλλ'ἀγαθά	
ἀλλαγή	a change
ἀλλάζητοῦμεν	
ἀλλάκαι	
ἀλλακτικός	
ἀλλ'ἀναγκαῖον	
ἀλλάπρακτα	
ἀλλάπρος	
ἀλλάσσω	to make other than it is, to change, alter
ἀλλάταπεινη	
ἄλλατοιαῦτα	
ἄλλατουτου	
ἀλλ'εἴ	
ἀλλ'ἐκεῖνο	
ἀλλ'ἤ	
ἄλλῃ	in another place, elsewhere
ἀλλήλων	of one another, to one another, one another
ἀλλήλωνἐστι	
ἄλληνχωραν	
ἄλληστεχνης	
ἀλλ'ἵνα	
ἀλλ'ἴσως	
ἄλλογαρ	
ἄλλοθι	elsewhere, in another place, in a strange
ἀλλοῖος	of another sort or kind, different
ἀλλοιόω	to make different, to change, alter
ἄλλοισλεγεται	
ἄλλοιστῆς	
ἀλλοίωσις	a change, alteration
ἀλλοιωτός	
ἀλλ'ὁμώνυμος	
ἄλλοντινα	
ἄλλοντροπον	
ἄλλος	alius, another, one besides
ἄλλοτε	at another time, at other times
ἀλλ'ὅτι	
ἀλλότριος	of or belonging to another
ἀλλοτριότης	alienation, estrangement
ἀλλοτριόω	to estrange from
ἄλλου	
ἀλλ'οὐ	
ἄλλουγινομενου	
ἄλλουἑνεκα	
ἀλλ'οὐκ	
ἀλλ'οὐχ	
ἀλλοφρονέω	to think of other things, to give no heed
ἄλλωναἰτια	
ἄλλωνδυναμεων	
ἄλλωνεἰρημενα	
ἄλλωνἑκαστον	
ἄλλωνκεχωρισμενων	
ἀλλ'ὡς	
ἄλλως	in another way or manner
ἄλλωστε	
ἄλλῳτις	
ἅλμη	sea-water, brine
ἀλογία	want of respect or regard
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἄλογονἐστιν	
ἄλογος	without λόγος
Ἀλόπη	
ἄλοχος	a bedfellow, spouse, wife
ἅλς	a lump of salt
ἅλσις	a leaping
ἀλυπία	
ἄλυπον	
ἄλυπος	without pain
ἄλυρος	without the lyre
Ἅλυς	
ἀλυσιτελής	unprofitable
ἄλυτος	not to be loosed, indissoluble
ἄλφα	
ἀλφάνω	to bring in, yield, earn
Ἀλφεσίβοια	
ἀλφεσίβοιος	bringing in oxen
ἄλφιτον	peeled or pearl-barley
ἁλώνης	
Ἀλωπεκῆθεν	
ἀλώπηξ	a fox
ἅμα	at once, at the same time
Ἀμάδοκος	
ἀμαθής	unlearned, ignorant, stupid, boorish
ἀμαθία	ignorance
ἀμαθύνω	to level with the sand, utterly destroy
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτητικός	prone to error
ἁμαρτία	a failure, fault, sin
ἁμαρτωλός	sinful
Ἄμασις	
ἅμασυνθεῖναι	
ἅμαὑπολαμβανειν	
ἀμαυρόω	to make dim, faint
ἄμβλωσις	
Ἀμβρακίη	
ἀμβροσία	
ἀμβροσίη	ambrosia
ἀμβρόσιος	immortal
ἀμεγεθῶν	
ἀμείβω	to change, exchange
ἀμείνων	better, abler, stronger, braver
ἀμέλεια	indifference, negligence
ἀμελέω	to have no care for, be neglectful of
ἀμερής	without parts, indivisible
ἀμέριστος	
ἀμετάβλητος	
ἀμετακίνητος	immovable
ἀμεταμέλητος	not to be repented of
ἀμετάπειστος	
ἀμετρία	excess, disproportion
ἀμέτριος	
ἄμετρος	without measure, immense, excessive, boundless
ἀμήχανος	without means
ἀμιγής	unmixed, pure
ἄμικτος	unmingled, that will not mingle or blend
ἅμιλλα	a contest for superiority, a conflict
ἁμιλλάομαι	to compete, vie, contend with
ἀμίμητος	inimitable
ἅμιππος	keeping up with horses
ἄμισθος	without hire or pay, unhired
Ἀμισόν	
ἄμμορος	without share of
Ἄμμων	Zeus-Ammon
ἀμνημονέω	to be unmindful
ἀμνημοσύνη	forgetfulness
ἀμνήμων	unmindful, forgetful
ἀμοιβαῖος	giving like for like, retributive
ἀμοιβή	a requital, recompense, compensation, return, payment
ἄμοιρος	without share in
ἁμός	
ἄμπελος	a vine
ἀμπεχόνη	a fine robe
ἀμπέχω	to surround, cover
Ἀμπρακιώτης	
ἀμυδρός	indistinct, dim, obscure
ἀμύητος	uninitiated
ἀμύθητος	unspeakable, unspeakably many or great
Ἀμύντης	
ἀμύντης	
ἀμυντικός	
ἀμύντωρ	a defender, helper
ἀμύνω	to keep off, ward off
ἀμφί	on both sides
Ἀμφιάραος	Amphiaraus
ἀμφιβάλλω	to throw or put round
ἀμφιβολία	the state of being attacked on both sides
ἀμφίβολος	put round, encompassing
ἀμφιδέξιος	with two right hands, very dextrous
ἀμφιδοξέω	to be doubtful
ἀμφί-ἴσχω	
ἀμφικτίονες	they that dwell round, next neighbours
ἀμφίλογος	disputed, disputable
ἀμφιπολέω	to attend constantly, to attend on, watch, guard
Ἀμφίπολις	
ἀμφίπολις	encompassing a city
Ἀμφιπολῖται	
ἀμφισβητέω	to stand apart
ἀμφισβήτημα	a point in dispute
ἀμφισβητήσιμος	disputed, disputable
ἀμφισβήτησις	a dispute, controversy, debate
ἀμφισβητητέον	
ἀμφορεύς	an amphora, jar, urn
ἀμφότερος	each or both of two
ἀμφοτέρως	in both ways
ἄμφω	
ἀμῶς	in some way or other
ἄν	
ΑΝ	
ἀνά	up, upon
ἀνά-ἄντομαι	
ἀναβαθμός	
ἀναβαίνω	to go up, mount, to go up to
ἀναβάλλω	to throw or toss up
ἀναβολάς	
ἀναβολεύς	a groom who helps one to mount
ἀναβολή	that which is thrown up, a mound
ἀναγγέλλω	to carry back tidings of, report
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
ἀναγκαίη	
ἀναγκαῖον	a place of constraint, a prison
ἀναγκαῖονἑκαστῃ	
ἀναγκαῖονἱνα	
ἀναγκαῖος	with or by force
ἀναγκαστικός	
ἀνάγκη	force, constraint, necessity
ἀνάγκηδη	
ἀνάγκηκαι	
ἀναγκοφαγία	
ἀνά-γνωρίζω	
ἀναγνώρισις	recognition
ἀναγνώρισισδε	
ἀναγνωρισμός	
ἀνάγνωσις	recognition
ἀναγνωστικός	suitable for reading
ἀναγορεύω	to proclaim publicly
ἀναγραφή	a registering
ἀναγράφω	to engrave and set up
ἀνάγω	to lead up
ἀναγωγεύς	
ἀναγωγή	a leading up
ἀνάδαστος	divided anew, re-distributed
ἀναδίδωμι	to hold up and give
ἀναζεύγνυμι	to yoke again
ἀνάθημα	a votive offering set up
ἄναἱ	
ἀναίδεια	shamelessness, impudence, effrontery
ἀναιδής	shameless
ἄναιμος	without blood, bloodless
ἀναίρεσις	a taking up
ἀναιρετέον	
ἀναιρετικός	
ἀναιρέω	to take up, raise
ἀνά-ἰσάζω	
ἀναισθησία	want of feeling or perception; insensibility
ἀναίσθητος	insensate, unfeeling
ἀναισχυντέω	to be shameless, behave impudently
ἀναισχυντία	shamelessness
ἀναίσχυντος	shameless, impudent
ἀναίτιος	not being the cause
ἀνακαλέω	to call up the dead
ἀνακάμπτω	to bend back
ἀνάκειμαι	to be laid up
ἀνακηρύσσω	to proclaim by voice of herald, publish abroad
ἀνακομίζω	to carry up
ἀνακράζω	to cry out, lift up the voice
Ἀνακρέων	
ἀνακρίνω	to examine closely, to question, interrogate
ἀνακτάομαι	to regain for oneself, get back again, recover
ἀνακυκλέω	to turn round again
ἀναλάζομαι	to take again
ἀναλαμβάνω	to take up, take into one's hands
ἀναλγησία	want of feeling, insensibility
ἀνάλγητος	without pain
ἀναλίσκω	to use up, to spend, lavish or squander
ἀναλλοίωτος	
ἀνάλλομαι	to leap
ἀναλογία	proportion
ἀναλογίζομαι	to reckon up, sum up
ἀνάλογος	proportionate
ἀνάλυσις	a loosing, releasing
ἀναλυτικός	
ἀναλύω	to unloose, undo
ἀνάλωμα	expenditure, cost
ἀναμάρτητος	without missing, unfailing, unerring
ἀναμάχομαι	to renew the fight, retrieve a defeat
ἀναμένω	to wait for, await
ἀναμίγνυμι	to mix up, mix together
ἀναμιμνήσκω	to remind
ἀνάμνησις	a calling to mind, recollection
ἀναμφισβήτητος	undisputed, indisputable
ἀνανδρία	want of manhood
ἄνανδρος	husbandless
ἀνανεύω	to throw the head back
ἄναξ	a lord, master
Ἀναξαγόρης	
Ἀναξανδρίδης	
ἀναξία	a command, behest
Ἀναξιλάου	
Ἀναξιμάνδρου	
Ἀναξιμένης	
ἀνάξιος	unworthy, not deemed or held worthy of
ἄναξις	
ἀνά-οἶδα	
ἀνά-ὀχλέω	
ἀνάπαιστος	struck back, rebounding
ἀνάπαλιν	back again
ἀνάπαυσις	repose, rest
ἀναπαύω	to make to cease, to stop or hinder from
ἀναπείθω	to bring over, convince
ἀναπηρία	
ἀνάπηρος	much maimed, crippled
ἀναπλέω	to sail up, to go up stream
ἀναπληρόω	to fill up
ἀναπλήρωσις	a filling up
ἀναπλόω	to unfold, open
ἀναπνέω	to breathe again, take breath
ἀναπόδεικτος	
ἀνάπτω	to make fast on or to
ἀνάρμοστος	unsuitable, incongruous, disproportionate
ἀναρχία	lack of a leader
ἀνασκευάζω	to pack up the baggage
ἀνάσσω	to be lord, master, owner, to rule, in
ἀναστρέφω	to turn upside down, upset
Ἀνάσχετος	
ἀνασχετός	
ἀνασχίζω	to rip up
ἀνασῴζω	
ἀναταράσσω	to disturb greatly, rouse to frenzy, confound
ἀνατίθημι	to lay upon
ἀνατολή	a rising, rise
ἀνατρέπω	to turn up or over, overturn, upset
ἀνατροπεύς	
ἀνατροπή	an upsetting, overthrow
ἀναφέρω	to bring or carry up
Ἀναφλύστιος	
ἀναφορά	
Ἀνάχαρσις	
ἀναχώννυμι	to heap up into a mound
ἀναχωρέω	to go back
ανδ	
ἁνδάνω	to please, delight, gratify
ἄνδοξειε	
ἄνδοξειεν	
ἀνδραγαθία	bravery, manly virtue, the character of a brave honest man
ἀνδραγαθίζομαι	to act bravely, honestly, play the honest man
ἀνδραποδίζω	to reduce to slavery, enslave
ἀνδραποδιστής	a slave-dealer, kidnapper
ἀνδράποδον	one taken in war and sold as a slave, a captive
ἀνδραποδώδης	slavish, servile, abject
ἀνδραποδωδία	
ἀνδρεῖα	
ἀνδρεία	manliness, manhood, manly spirit
ἀνδρεῖος	of or for a man
ἀνδρῖα	
ἀνδριαντοποιητική	
ἀνδριαντοποιία	
ἀνδριαντοποιός	a statue-maker, statuary, sculptor
ἀνδριάς	the image of a man, a statue
ἀνδρίζω	to make a man of
ἀνδρίον	a manikin
Ἄνδριος	
ἀνδρίς	
ἀνδροδάμας	man-taming
Ἀνδροδάμας	
Ἀνδροκλέης	
Ἀνδρομάχη	
ἀνδρομάχος	fighting with men
Ἀνδροτίων	
ἀνδροφονία	slaughter of men
ἀνδρόω	to rear up into manhood
ἀνδρώδης	like a man, manly
ἀνέγερτος	
ἀνέγκλητος	not accused, without reproach, void of offence
ἀνέδην	let loose, freely, without restraint
ἄνεἰη	
ἀνείλω	
ἀνειμένως	
ἄνειμι	to go up
ἄνεἶναι	
ἀνέκπληκτος	undaunted, intrepid
ἀνεκτός	bearable, sufferable, tolerable
ἀνελευθερία	illiberality
ἀνελευθέριος	
ἀνελευθεριότης	
ἀνελεύθερος	not fit for a free man
ἀνελίσσω	to unroll
ἀνέλπιστος	unhoped for, unlooked for
ἀνεμπόδιστος	unembarrassed
ἀνεξαπάτητος	
ἀνεπιστημονικός	
ἀνεπιστήμων	not knowing, ignorant, unskilful
ἀνεπιτήδειος	unserviceable, unfit
ἀνεπιτίμητος	not to be censured
ἀνέργαστος	unwrought, untilled
ἀνερευνάω	to examine closely, investigate
ἀνερεύνητος	not investigated
ἀνερωτάω	to ask or inquire of, question
ἄνεσις	a loosening, relaxing
ἀνέστιος	without hearth and home, homeless
ἀνεστραμμένως	
ἄνἑτερον	
ἄνἐτι	
ἄνευ	without
ἀνεύθυνος	not having to render an account, irresponsible
ἄνευοὐχ	
ἄνἐχοιμεν	
ἀνέχω	to hold up
ἀνεψιός	a first-cousin, cousin
ἀνήδυντος	not sweetened or seasoned
ἀνήκεστος	not to be healed, incurable, irreparable, fatal
ἀνήκω	to have come up to
ἀνήρ	a man
ἀνθεκτέον	
ἀνθεκτέος	one must cleave to
ἀνθέμιον	with flowers
Ἀνθεμίων	
Ἀνθεύς	
ἀνθέω	to blossom, bloom
ἄνθη	full bloom
ἀνθίστημι	to set against
ἄνθος	a blossom, flower
ἀνθ'οὗ	
ἄνθρα	
ἀνθρακόω	to be burnt to cinders
ἄνθραξ	charcoal, coal
ἀνθρώπειος	of or belonging to man, human
ἀνθρωπεύομαι	to be or act as a human being
ἀνθρωπικός	of or for a man, human
ἀνθρώπινος	of, from or belonging to man, human
ἀνθρωπίνουσωματος	
ἀνθρωποειδής	like a man, in human form
ἀνθρωπολόγος	speaking of man
ἄνθρωπονκαι	
ἄνθρωπονκαλοῦμεν	
ἄνθρωπος	man
ἄνθρωποσκαι	
ἄνθρωποσπαρα	
ἀνθρώπουἀνθρωπος	
ἀνθρωποφαγία	an eating of men
ἀνθυπηρετέω	to serve in turn
ἀνία	grief, sorrow, distress, trouble
ἀνιάζω	to grieve, distress
ἀνιάομαι	to cure again, repair
ἀνιαρόνἐφυ	
ἀνιαρός	grievous, troublesome, annoying
ἀνίατος	incurable
ἀνιάω	to grieve, distress
ἀνιερόω	to dedicate, devote
ἀνίημι	to send up or forth
ἄνισονδυσχεραινουσιν	
ἄνισος	unequal, uneven
ἀνισότης	inequality
ἀνισόω	to make equal, equalise
ἀνίστημι	to make to stand up, raise up
ἄνμεν	
Ἄννων	
ἀνόητος	not thought on, unheard of
ἄνοια	want of understanding, folly
ἀνοίγνυμι	to open
ἀνοικοδομέω	to build up
ἀνοικοδόμησις	
ἀνολογίᾳ	
ἀνομαλίζω	to restore to equality, equalise
ἀνομαλόω	
