Field1	Field2
ἀλήθεια	truth
ἀληθής	unconcealed, true
Ἄληκι	
ἄληπτος	not to be laid hold of, hard to catch
Ἀληψόν	
ἁλιάδης	a seaman
Ἁλιάρτιοι	
ἁλιάς	
Ἁλιάς	
ἅλιας	
Ἁλιέαι	
ἁλιεύς	one who has to do with the sea
Ἁλικαρνασσεύς	a Halicarnassian
Ἁλικαρνασσός	
Ἀλικυαίους	
ἀλίμενος	without harbour, harbourless
ἁλίσκομαι	to be taken, conquered
ἀλιτήριος	sinning or offending against
ἀλκαῖον	
Ἀλκαῖος	
ἀλκαῖος	strong, mighty
Ἀλκαμένης	
ἀλκή	strength
Ἀλκιβιάδης	
Ἀλκίδης	
Ἀλκινάδας	
Ἀλκίνοος	
Ἀλκισθένης	
ἀλκίφρων	stout-hearted
Ἀλκμέων	
Ἀλκμεωνιδῶν	
ἀλλά	otherwise, but
ἀλλάσσω	to make other than it is, to change, alter
ἄλλῃ	in another place, elsewhere
ἀλλήλων	of one another, to one another, one another
ἄλλοθεν	from another place
ἄλλοθι	elsewhere, in another place, in a strange
ἀλλοῖος	of another sort or kind, different
ἀλλοιόω	to make different, to change, alter
ἀλλόκοτος	of unusual nature or form, strange, monstrous
ἅλλομαι	to spring, leap, bound
ἄλλος	alius, another, one besides
ἄλλοτε	at another time, at other times
ἀλλότριος	of or belonging to another
ἀλλοτριόω	to estrange from
ἀλλοτρίωσις	estrangement
ἄλλου	
ἀλλόφυλος	of another tribe, foreign
ἄλλως	in another way or manner
ἁλμυρός	salt, briny
Ἀλμωπίη	
Ἀλμώπιος	
Ἄλμωψ	
ἀλογία	want of respect or regard
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἄλογος	without λόγος
Ἀλόπη	
Ἀλύζιαν	
Ἅλυς	
ἅλυσις	a chain
ἄλφιτον	peeled or pearl-barley
ἅλων	
ἁλώνης	
ἁλώσιμος	easy to take, win
ἅλωσις	a taking, capture, conquest, destruction
ἁλωτός	to be taken or conquered
ἅμα	at once, at the same time
ἀμαθής	unlearned, ignorant, stupid, boorish
ἀμαθία	ignorance
ἄμαξα	a wagon, wain
ἁμαξιτός	
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
ἀμάρτυρος	without witness, unattested
ἀμαχεί	without resistance
ἀμαχητί	without battle
ἀμβλύνω	to blunt, take the edge off
ἀμβλύς	blunt, dulled, with the edge taken off
ἄμεικτος	
Ἀμεινιάδης	
Ἀμεινίης	
Ἀμεινοκλέης	
ἀμείνων	better, abler, stronger, braver
ἀμειξία	
ἀμέλεια	indifference, negligence
ἀμελέω	to have no care for, be neglectful of
ἀμελής	careless, heedless, negligent
ἀμηχανέω	to be at a loss for
ἅμιλλα	a contest for superiority, a conflict
ἁμιλλάομαι	to compete, vie, contend with
ἀμιξία	want of intercourse
ἅμιππος	keeping up with horses
Ἀμμέας	
ἀμνημονέω	to be unmindful
ἀμνηστέω	to be forgotten
ἀμοθεί	without quarrel
ἀμόργη	
ἀμόργης	
Ἀμόργης	
ἄμοργις	
Ἀμπελίδου	
ἄμπελος	a vine
Ἀμπρακίη	
Ἀμπρακικός	
Ἀμπρακιώτης	
Ἀμπρακιῶτις	
ἀμυδρός	indistinct, dim, obscure
Ἀμυκλαῖον	the temple of Amyclaean Apollo
Ἀμυκλαῖος	
ἀμύντης	
Ἀμύντης	
ἀμύνω	to keep off, ward off
Ἀμύρταιος	
ἀμφηρικός	rowed on both sides, worked by sculls
ἀμφί	on both sides
Ἀμφιάραος	Amphiaraus
ἀμφίας	
ἀμφίβολος	put round, encompassing
ἀμφιδήριτος	disputed
Ἀμφιδώρου	
ἀμφίλογος	disputed, disputable
Ἀμφιλοχίη	
Ἀμφιλοχικός	
Ἀμφιλόχιος	
Ἀμφίλοχος	
ἀμφιπολέω	to attend constantly, to attend on, watch, guard
Ἀμφίπολις	
ἀμφίπολις	encompassing a city
Ἀμφιπολῖται	
Ἀμφιπόλιτος	
Ἀμφιπολιτῶν	
ἀμφισβητέω	to stand apart
ἀμφισβήτητος	debatable
Ἀμφισσῆς	
ἀμφορεύς	an amphora, jar, urn
ἀμφότερος	each or both of two
ἀμφοτέρωθεν	from or on both sides, utrinque
ἄμφω	
ἄν	
ἀνά	up, upon
ἀνά-ἄγαμαι	
ἀνά-ἀίω	
ἀναβαίνω	to go up, mount, to go up to
ἀναβάλλω	to throw or toss up
ἀνάβασις	a going up, mounting
ἀναβιβάζω	to make go up, cause to mount
ἀναβοάω	to shout aloud, utter a loud cry
ἀναβολάς	
ἀναβολή	that which is thrown up, a mound
ἀναγγέλλω	to carry back tidings of, report
ἀναγελάω	to laugh loud
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
ἀναγκαίη	
ἀναγκαῖον	a place of constraint, a prison
ἀναγκαῖος	with or by force
ἀναγκαστός	forced, constrained
ἀνάγκη	force, constraint, necessity
ἀνάγραπτος	inscribed, registered
ἀναγράφω	to engrave and set up
ἀνάγω	to lead up
ἀναγωγεύς	
ἀναγωγή	a leading up
ἀναδατέομαι	to divide anew, redistribute
ἀναδείκνυμι	to lift up and shew
ἀναδέχομαι	to take up, catch, receive
ἀναδέω	to bind or tie up
ἀνά-δέω	
ἀναδιδάσκω	to teach otherwise or better
ἀναδίδωμι	to hold up and give
ἀνάδοτος	to be given up
ἀναζεύγνυμι	to yoke again
ἀναζητέω	to examine into, investigate
ἀναθαρσέω	to regain courage
ἀνάθημα	a votive offering set up
ἀναθρέω	to look up at, observe closely
Ἄναια	
Ἀναιῖτις	
Ἀναιιτῶν	
ἀναίρεσις	a taking up
ἀναιρέω	to take up, raise
ἀναίσθητος	insensate, unfeeling
ἀναισχυντέω	to be shameless, behave impudently
ἀναίσχυντος	shameless, impudent
ἀνά-ἴσχω	
ἀνακαλέω	to call up the dead
ἀνάκειμαι	to be laid up
Ἀνάκειον	the temple of the Dioscuri
ἀνακηρύσσω	to proclaim by voice of herald, publish abroad
ἀνακής	
ἀνά-κλάω	
ἀνάκλησις	a calling on, invocation
ἀνακομίζω	to carry up
ἀνακόπτω	
ἀνακρίνω	to examine closely, to question, interrogate
ἀνάκρουσις	a pushing back
ἀνακρούω	to push back, stop short, check
ἀνακτάομαι	to regain for oneself, get back again, recover
ἀνακτορία	management
ἀνακτόριος	belonging to a lord or king, royal
Ἀνακτόριος	
ἀνακῶς	carefully
ἀναλαμβάνω	to take up, take into one's hands
ἀνάλγητος	without pain
ἀνάληψις	a taking up
ἀναλίσκω	to use up, to spend, lavish or squander
ἀναλογίζομαι	to reckon up, sum up
ἀναλογισμός	reconsideration
ἀνάλωμα	expenditure, cost
ἀνάλωσις	outlay, expenditure
ἀνάλωτος	not to be taken, invincible, impregnable
ἀναμάχομαι	to renew the fight, retrieve a defeat
ἀναμένω	to wait for, await
ἀναμιμνήσκω	to remind
ἀναμίξ	promiscuously
ἀναμφισβήτητος	undisputed, indisputable
ἀνανδρία	want of manhood
ἄνανδρος	husbandless
ἀνανεόομαι	to renew
ἀνανέωσις	a renewal
ἀνανταγώνιστος	without a rival, without a struggle
Ἀνάξανδρος	
Ἀναξίλευς	
Ἀναξίλης	
ἀνάξιος	unworthy, not deemed or held worthy of
ἀνάπαυλα	repose, rest
ἀνάπαυσις	repose, rest
ἀναπαύω	to make to cease, to stop or hinder from
ἀναπείθω	to bring over, convince
ἀναπειράομαι	to try or attempt again
ἀναπέμπω	to send up
ἀναπίμπλημι	to fill up
ἀναπίπτω	to fall back
ἀναπλέω	to sail up, to go up stream
ἀναπληρόω	to fill up
Ἄναπος	
ἀναπράσσω	to exact, levy
ἀνάπτω	to make fast on or to
ἄναρκτος	not governed or subject
ἀνάρμοστος	unsuitable, incongruous, disproportionate
ἀναρρήγνυμι	to break up
ἀναρρίπτω	to throw up
ἀναρρώννυμι	to strengthen afresh
ἀναρχία	lack of a leader
ἀνασείω	to shake back, swing to and fro, move up and down
ἀνασκευάζω	to pack up the baggage
ἀνασκοπέω	to look at narrowly, examine well
ἀνασκοπή	
ἀνασπάω	to draw up, pull up
ἀνάσσω	to be lord, master, owner, to rule, in
ἀνάστασις	a raising up
ἀνάστατος	made to rise up and depart, driven from one's home
ἀνασταυρόω	to impale
ἀναστέλλω	to raise up
ἀναστρέφω	to turn upside down, upset
ἀναστροφή	a turning upside down, upsetting
ἀνασχετός	
ἀνατί	without harm, with impunity
ἀνατίθημι	to lay upon
ἀνατρέχω	to run back
ἀναφαίνω	to make to give light, make to blaze up
ἀναφέρω	to bring or carry up
ἀνά-φορέω	
ἀναχέω	to pour forth
ἀναχωρέω	to go back
ἀναχώρησις	a drawing back, retiring, retreating
ἀναψηφίζω	to put to the vote again
Ἀνδοκίδης	
ἀνδραγαθία	bravery, manly virtue, the character of a brave honest man
ἀνδραγαθίζομαι	to act bravely, honestly, play the honest man
ἀνδραποδίζω	to reduce to slavery, enslave
ἀνδραποδισμός	a selling free men into slavery, enslaving
ἀνδράποδον	one taken in war and sold as a slave, a captive
ἀνδρεῖα	
ἀνδρεία	manliness, manhood, manly spirit
ἀνδρεῖος	of or for a man
ἀνδριάς	the image of a man, a statue
ἀνδρίον	a manikin
Ἄνδριος	
ἀνδρίς	
Ἀνδροκλέης	
Ἀνδροκράτης	
Ἀνδρομένης	
Ἄνδρος	
Ἀνδροσθένης	
ἀνδρόω	to rear up into manhood
ἀνέθεσαν	
ἀνείλω	
ἀνειμένως	
ἄνειμι	to go up
ἀνειπεῖν	to say aloud, announce, proclaim
ἀνείρω	to fasten on or to, to string
ἀνέκβατος	without outlet
ἀνεκτός	bearable, sufferable, tolerable
ἀνέλεγκτος	not cross-questioned, safe from being questioned
ἀνέλκω	to draw up
ἀνέλπιστος	unhoped for, unlooked for
ἄνεμος	wind
ἀνεμόω	to expose to the wind:—
ἀνεξέλεγκτος	unquestioned, impossible to be questioned or refuted
ἀνεξεύρετος	not to be found out
ἀνεπαχθής	not burdensome, without offence
ἀνεπιβούλευτος	without plots
ἀνεπιεικής	unreasonable, unfair
ἀνεπίκλητος	unaccused, unblamed
ἀνεπίληπτος	not open to attack, not censured, blameless
ἀνεπιστημοσύνη	want of knowledge, ignorance, unskilfulness
ἀνεπιστήμων	not knowing, ignorant, unskilful
ἀνεπίτακτος	subject to no control
ἀνεπιτήδειος	unserviceable, unfit
ἀνεπίφθονος	without reproach
ἀνερεθίζω	to stir up, excite
ἀνέρομαι	to enquire of, question
ἀνέρχομαι	to go up
ἄνευ	without
ἀνεύθυνος	not having to render an account, irresponsible
ἀνευρίσκω	to find out, make out, discover
ἀνεχέγγυος	not giving surety or confidence
ἀνέχω	to hold up
ἀνεψιός	a first-cousin, cousin
ἀνήκεστος	not to be healed, incurable, irreparable, fatal
ἀνηκουστέω	to be unwilling to hear, to disobey
ἀνήκω	to have come up to
ἀνήρ	a man
Ἀνήριστος	
ἀνθαιρέομαι	to choose
ἀνθάπτομαι	to lay hold of in turn
ἀνθεκτέον	
ἀνθεκτέος	one must cleave to
ἀνθέλκω	to draw or pull against
Ἀνθεμόεις	
Ἀνθεστηριών	Anthesterion
ἀνθεστηριών	
ἀνθέω	to blossom, bloom
Ἀνθήνην	
ἀνθησσάομαι	to give way in turn
ἀνθίστημι	to set against
ἀνθορμέω	to lie at anchor opposite to
ἄνθος	a blossom, flower
ἄνθρα	
ἄνθραξ	charcoal, coal
ἀνθρώπειος	of or belonging to man, human
ἀνθρώπινος	of, from or belonging to man, human
ἄνθρωπος	man
ἀνθυπάγω	to bring to trial in turn
ἀνθυποπτεύω	to suspect mutually
ἀνιάζω	to grieve, distress
ἀνιάομαι	to cure again, repair
ἀνιάω	to grieve, distress
ἀνίημι	to send up or forth
ἀνίστημι	to make to stand up, raise up
ἀνίσωσις	equalisation
ἀνόητος	not thought on, unheard of
ἄνοια	want of understanding, folly
ἀνοίγνυμι	to open
ἀνοικίζω	to remove up the country
ἀνοικοδομέω	to build up
ἀνοιμώζω	to wail aloud
ἄνοιξις	an opening
ἀνοκωχή	a stay, cessation
ἀνολκή	a hauling up
ἀνολοφύρομαι	to break into loud wailing
ἀνομία	lawlessness
ἀνόμοιος	unlike, dissimilar
ἀνομοιόω	to make unlike or dissimilar
ἄνομος	without law, lawless
ἄνοος	without understanding, foolish, silly
ἀνορθόω	to set up again, restore, rebuild
ἄνοσος	without sickness, healthy, sound
ἀνσχετός	to be borne, sufferable, endurable
ἀνταγωνίζομαι	to struggle against, prove a match for
ἀνταίρω	to raise against
ἀνταιτέω	to demand in return
ἀνταλλάσσω	to exchange
ἀνταμύνομαι	to defend oneself against, resist
ἀντανάγω	to lead up against
ἀνταναμένω	to wait instead
Ἀντάνδριος	
ἄντανδρος	instead of a man, as a substitute
Ἄντανδρος	
ἀνταξιόω	to demand as equivalent
ἀνταπαιτέω	to demand in return
ἀνταποδίδωμι	to give back, repay, tender in repayment or requital
ἀνταπόδοσις	a giving back in turn
ἀνταποφαίνω	to shew on the other hand
ἀνταρκέω	to hold out against
ἀντεγγράφω	to insert
ἀντεῖπον	to speak against or in answer, gainsay
ἀντεκπλέω	to sail out against
ἀντελπίζω	to hope instead or in turn
ἀντεμβιβάζω	to put on board instead
ἀντεπάγω	to lead against
ἀντεπανάγομαι	to put to sea against
ἀντέπειμι	to rush upon, meet an advancing enemy
ἀντεπεξάγω	to go out against
ἀντεπέξειμι	to march out
ἀντεπεξελαύνω	to march out
ἀντεπεξέρχομαι	
ἀντεπιβουλεύω	to form counter-designs
ἀντεπιτάσσω	to order in turn
ἀντεπιτειχίζομαι	to build a fort in retaliation
ἀντεπιτίθημι	to entrust
ἀντεράω	to love in return
ἀντερῶ	to speak against, gainsay
ἀντεφόρμησις	
ἀντέχω	to hold against
ἀντηρίς	a prop, stay, support
ἀντί	over against, opposite. c. gen.
ἀντί-ἄνειμι	
ἀντιβάλλω	to throw against or in turn, return the shots
ἀντιβοάω	to return a cry
ἀντιβοηθέω	to help in turn
ἀντιβολέω	to meet by chance
ἀντιβολία	entreaty, prayer
Ἀντιγένης	
ἀντιδίδωμι	to give in return, repay
ἀντί-ἐπιπλέω	
ἀντί-ἰσχυρίζομαι	
ἀντί-ἴσχω	
ἀντί-καθέζομαι	
ἀντί-κάθημαι	
ἀντικαθίστημι	to lay down or establish instead, substitute, replace
ἀντικελεύω	to command in turn
Ἀντικλέης	
ἀντικρούω	to strike against, to be a hindrance, counteract
ἄντικρυς	straight on, right on
ἀντιλαβή	a thing to hold by, a handle
ἀντιλαμβάνω	to receive instead of
ἀντιλέγω	to speak against, gainsay, contradict
ἀντίλεκτος	disputably
ἀντίληψις	a receiving in turn or exchange
ἀντιλογία	contradiction, controversy, disputation
ἀντιμάχομαι	to fight against
ἀντιμέλλω	to wait and watch against
Ἀντιμενίδας	
ἀντιμηχανάομαι	to contrive against
ἀντιμίμησις	close imitation of
Ἀντίμνηστος	
ἀντιναυπηγέω	to build ships against
ἀντί-οἰκτίζω	
Ἀντίοχος	
ἀντίπαλος	wrestling against
ἀντιπαρακαλέω	to summon in turn or contrariwise
ἀντιπαρακελεύομαι	to exhort in turn
ἀντιπαραλυπέω	to annoy in turn
ἀντιπαραπλέω	to sail along on the other side
ἀντιπαρασκευάζομαι	to prepare oneself in turn, arm on both sides
ἀντιπαρασκευή	mutual preparation
ἀντιπαρατάσσομαι	to stand in array against
ἀντιπαρέχω	to supply in turn
ἀντιπάσχω	to suffer in turn
ἀντιπαταγέω	to clatter so as to drown
ἀντιπέμπω	to send back an answer
ἀντιπέρα	the opposite coast
ἀντιπέρας	over against, on the other side
ἀντιπληρόω	to man
ἀντιποιέω	to do in return
ἀντιπολεμέω	to urge war against
ἀντιπολέμιος	warring against
ἀντιπολιορκέω	to besiege in turn
Ἄντιππος	
ἀντιπρεσβεύομαι	to send counter-ambassadors
ἀντιπρόειμι	to come forward against
ἀντίπρῳρος	with the prow towards
Ἀντισθένης	
ἀντισόομαι	to oppose on equal terms
Ἄντισσα	
Ἀντισσαίων	
ἀντιστράτηγος	the enemy's general
ἀντιστρατοπεδεύω	to encamp over against
ἀντίταξις	counter-array
ἀντιτάσσω	to set opposite to, range in battle against
ἀντιτείχισμα	a counter-fortification
ἀντιτέχνησις	counter-manoeuvring, emulation
ἀντιτίθημι	to set against, oppose
ἀντιτιμωρέομαι	to avenge oneself on
ἀντιτολμάω	to dare to stand against
ἀντιτυγχάνω	to meet with in return
Ἀντίφημος	
ἀντιφυλακή	a watching
Ἀντιφῶν	
Ἀντιφών	
ἀντιχειροτονέω	to vote against
ἀντονομάζω	to name instead, call by a new name
ἀντοφείλω	to owe
ἀνυδρία	
ἀνύποπτος	without suspicion, unsuspected
ἀνύω	to effect, achieve, accomplish, complete
ἄνω	
ἄνωθεν	from above, from on high
ἀνωθέω	to push up, push off from shore
ἀνώμαλος	uneven, irregular
ἀνώτατος	topmost
ἀνωφελής	unprofitable, useless
ἀξία	the worth or value
ἀξιόλογος	worthy of mention, noteworthy
ἀξιόμαχος	a match for
ἄξιος	weighing as much, of like value, worth as much as
Ἀξιός	
ἀξιόχρεως	worthy of a thing
ἀξιόω	to think or deem worthy of
ἀξίωμα	that of which one is thought worthy, an honour
ἀξίωσις	a thinking worthy
ἄξος	
ἀξυγκρότητος	not welded together by the hammer
ἄξων	an axle
ἀοιδή	song, a singing
ἀοιδός	a singer, minstrel, bard
ἄοκνος	without hesitation, untiring
ἄοπλος	without shields
ἀόριστος	without boundaries
ἀπαγγελία	a report
ἀπαγγέλλω	to bring tidings, report, announce
ἀπάγχω	to strangle, throttle
ἀπάγω	to lead away, carry off
ἀπᾴδω	to sing out of tune, be out of tune
ἀπαθής	not suffering or having suffered, without experience of
ἀπαιδευσία	want of education
ἀπαίρω	to lift off, carry off, take away, to remove from
ἀπαιτέω	to demand back, demand
ἀπαλγέω	to feel no more pain at
ἀπαλλαγή	deliverance, release, relief from
ἀπαλλάσσω	to set free, release, deliver
ἀπαναλίσκω	to use quite up, utterly consume
ἀπανίστημι	to make rise up and depart, send away
ἀπαντάω	to move from
ἀπαντή	
ἅπαξ	once, once only, once for all
ἀπαξιόω	to disclaim as unworthy, disown
ἀπαραίτητος	not to be moved by prayer, inexorable
ἀπαράκλητος	unsummoned, volunteering
ἀπαράσκευος	without preparation, unprepared
ἀπαράσσω	to strike off, cut off
ἀπαρέσκω	to be disagreeable to
ἀπαρίθμησις	a counting over, recounting
ἀπαρνέομαι	to deny utterly, deny
ἀπαρτάω	to hang up from
ἀπαρχή	the beginning of a sacrifice, the primal offering
ἅπας	quite all, the whole
ἀπατάω	to cheat, trick, outwit, beguile
ἀπάτη	a trick, fraud, deceit
ἄπαυστος	unceasing, never-ending
ἀπαυτομολέω	to go of one's own accord, desert
ἀπάχθομαι	to be grievous
ἄπεδος	even, level, flat
ἀπειθής	disobedient
ἀπεικότως	
ἀπειλέω	
ἀπειλή	boastful promises, boasts
ἄπειμι	
